Dates,ABE.MC.Adjusted,ANA.MC.Adjusted,ACX.MC.Adjusted,ACS.MC.Adjusted,AENA.MC.Adjusted,AMS.MC.Adjusted,MTS.MC.Adjusted,COL.MC.Adjusted,SAB.MC.Adjusted,SAN.MC.Adjusted,BKIA.MC.Adjusted,BKT.MC.Adjusted,BBVA.MC.Adjusted,CABK.MC.Adjusted,CLNX.MC.Adjusted,DIA.MC.Adjusted,ENG.MC.Adjusted,ELE.MC.Adjusted,FER.MC.Adjusted,SGRE.MC.Adjusted,GAS.MC.Adjusted,GRF.MC.Adjusted,IBE.MC.Adjusted,ITX.MC.Adjusted,IDR.MC.Adjusted,IAG.MC.Adjusted,MAP.MC.Adjusted,TL5.MC.Adjusted,MEL.MC.Adjusted,MRL.MC.Adjusted,REE.MC.Adjusted,REP.MC.Adjusted,TRE.MC.Adjusted,TEF.MC.Adjusted,VIS.MC.Adjusted
2007-03-28,12.442108,91.242058,12.336026,23.817673,NA,NA,70.132721,1505.434814,2.993493,4.980475,NA,4.18166,9.336321,NA,NA,NA,9.750874,16.054813,8.218744,20.653507,14.210195,4.823116,4.962932,-0.437134,12.962016,NA,1.952748,11.212826,15.946861,NA,0.970331,13.771132,23.93475,7.710617,11.648129
2007-03-29,12.589184,94.677483,12.401466,24.146376,NA,NA,71.833519,1522.994141,2.993493,4.999245,NA,4.216277,9.423228,NA,NA,NA,9.812329,16.222843,8.387456,21.151373,14.41415,4.795191,4.972689,-0.441747,12.962016,NA,1.952748,11.343382,16.12594,NA,0.966725,13.914582,24.529158,7.781358,11.934436
2007-03-30,12.631207,94.415443,12.46691,24.491245,NA,NA,72.967354,1522.994141,3.010356,5.010499,NA,4.247429,9.397682,NA,NA,NA,9.904511,16.194841,8.447712,21.761667,14.630573,4.795191,4.933656,-0.447128,13.079849,NA,1.973303,11.296342,16.116983,NA,0.978375,13.925614,24.601801,7.781358,12.725541
2007-04-02,12.799239,94.793945,12.578168,24.701401,NA,NA,72.87587,1546.939575,3.248871,5.014237,NA,4.316661,9.428337,NA,NA,NA,9.863542,16.178837,8.441687,21.962416,14.880325,4.795191,5.03821,-0.456257,13.225413,NA,2.009276,11.468746,16.0364,NA,0.984201,13.94769,24.416878,7.842652,12.627594
2007-04-03,12.883281,100.500214,12.761404,25.213314,NA,NA,73.241676,1543.751343,3.285686,5.108004,NA,4.361664,9.627747,NA,NA,NA,9.878909,16.00281,8.544121,22.379986,15.458863,4.890935,5.158103,-0.453566,13.336317,NA,2.050385,11.599303,16.322924,NA,0.993077,14.069064,24.892403,7.965287,12.642667
2007-04-04,12.76775,99.655876,12.728514,25.218708,NA,NA,74.448662,1526.182495,3.258074,5.153019,NA,4.323585,9.637968,NA,NA,NA,9.848177,16.078821,8.489892,22.323772,15.471373,4.92684,5.155315,-0.45174,13.322453,NA,2.009276,11.541816,16.251295,NA,0.989471,13.980791,24.271578,7.965287,12.620061
2007-04-05,12.82025,99.859673,12.577222,25.353418,NA,NA,74.704689,1535.230225,3.258074,5.160493,NA,4.544855,9.61242,NA,NA,NA,9.86866,16.066818,8.604375,22.363924,15.637845,4.91886,5.179013,-0.45789,13.398701,NA,2.034972,11.489582,16.439327,NA,0.985033,14.074582,24.357439,7.965287,12.657733
2007-04-10,12.899053,100.471115,12.78114,25.461199,NA,NA,75.289833,1546.939575,3.267282,5.220498,NA,4.544855,9.638743,NA,NA,NA,9.766238,16.102825,8.610399,22.781494,15.450555,5.046519,5.141373,-0.458948,13.454154,NA,2.019553,11.834273,16.510958,NA,0.986975,14.019407,24.641439,7.993575,12.733076
2007-04-11,12.804476,99.568588,12.892965,25.784512,NA,NA,74.466896,1520.332642,3.285686,5.209245,NA,4.58828,9.62321,NA,NA,NA,9.822571,16.202841,8.550144,22.877851,15.633692,4.974712,5.061912,-0.45693,13.398701,NA,2.034972,11.881313,16.564678,NA,0.984756,14.168378,25.196211,8.003019,13.185137
2007-04-12,12.762514,98.200226,12.748249,25.70907,NA,NA,73.936615,1529.380249,3.258074,5.164271,NA,4.548479,9.504006,NA,NA,NA,9.786723,16.18284,8.459764,22.082869,15.304854,5.010616,5.024271,-0.453374,13.405633,NA,2.02983,11.802934,16.564678,NA,0.972827,14.32286,26.021772,7.9464,13.004313
2007-04-13,12.893817,98.374908,12.669313,25.865341,NA,NA,73.479378,1535.230225,3.258074,5.175525,NA,4.63894,9.52477,NA,NA,NA,9.935242,16.234846,8.507967,22.243469,15.288241,5.094392,5.03821,-0.455008,13.433361,NA,2.081217,11.907404,16.895975,NA,0.959235,14.504934,26.021772,8.003019,12.996777
2007-04-16,12.804476,98.811607,12.603531,25.924614,NA,NA,73.570839,1522.994141,3.267282,5.220498,NA,4.754734,9.607678,NA,NA,NA,9.909633,16.25885,8.494011,22.460287,15.525486,5.106359,5.013119,-0.461734,13.482773,NA,2.112054,11.855167,17.012375,NA,0.960899,14.355966,26.431252,8.007743,13.448842
2007-04-17,12.74674,98.258461,12.439082,25.682127,NA,NA,72.619881,1517.144287,3.258074,5.179261,NA,4.91757,9.576609,NA,NA,NA,9.551145,16.198843,8.481878,22.20332,15.504661,5.297848,5.032635,-0.456545,13.391005,NA,2.07094,11.839527,16.958651,NA,0.965615,14.394584,26.193495,8.012465,13.335827
